epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,670.871,2.19662,2.89264,2.03031,0.25031,0.27517,0.17465,0.0615,2.30726,3.01923,2.05716,0.00041675,0.00041675,0.00041675
2,1176.41,1.88706,2.14397,1.78913,0.30124,0.40045,0.20604,0.07032,2.29235,5.43532,2.42745,0.000833337,0.000833337,0.000833337
3,1992.42,1.93211,2.09567,1.85536,0.04219,0.43624,0.0281,0.00851,2.55052,54.5094,2.8862,0.00123276,0.00123276,0.00123276
4,2517.85,2.03614,2.13035,1.95995,0.20725,0.32662,0.16215,0.05094,2.49782,3.32421,2.64228,0.00156798,0.00156798,0.00156798
5,2931.49,1.98253,2.00194,1.93352,0.28714,0.22595,0.15145,0.04562,2.84012,2.96618,2.85388,0.00153497,0.00153497,0.00153497
6,3358.26,1.96735,2.10954,1.93591,0.06625,0.17002,0.02606,0.0069,3.16188,11.296,3.47018,0.00150197,0.00150197,0.00150197
7,3815.16,1.94029,1.9893,1.88078,0.17244,0.19463,0.08339,0.03002,2.39819,4.01872,2.43651,0.00146896,0.00146896,0.00146896
8,4236.66,1.89025,1.95896,1.85327,0.38659,0.39374,0.32102,0.1031,2.30972,2.74156,2.2538,0.00143595,0.00143595,0.00143595
9,4642.01,1.91434,1.92918,1.83166,0.27701,0.36242,0.24835,0.07984,2.32314,2.55086,2.25164,0.00140295,0.00140295,0.00140295
10,5059.23,1.89798,1.93235,1.87336,0.48505,0.3915,0.39894,0.13776,2.25628,2.1744,2.19908,0.00136994,0.00136994,0.00136994
11,5459.87,1.90408,1.93204,1.86571,0.45854,0.40164,0.3742,0.13614,2.1798,2.92687,2.11199,0.00133693,0.00133693,0.00133693
12,5921.32,1.86037,1.84181,1.81966,0.47641,0.38702,0.39639,0.13604,2.25877,2.20047,2.18768,0.00130393,0.00130393,0.00130393
13,6323.02,1.82461,1.80049,1.80992,0.43576,0.4094,0.3764,0.13594,2.2867,2.06645,2.18334,0.00127092,0.00127092,0.00127092
